Y-Axis,X-Axis,Number of Hits
A,1,0
A,2,0
A,3,0
A,4,1
A,5,0
A,6,0
A,7,0
A,8,1
A,9,0
B,1,0
B,2,0
B,3,0
B,4,0
B,5,0
B,6,0
B,7,1
B,8,0
B,9,0
C,1,0
C,2,0
C,3,0
C,4,0
C,5,0
C,6,0
C,7,1
C,8,0
C,9,0
D,1,1
D,2,1
D,3,0
D,4,0
D,5,0
D,6,0
D,7,1
D,8,1
D,9,0
E,1,0
E,2,1
E,3,0
E,4,0
E,5,0
E,6,0
E,7,0
E,8,0
E,9,1
F,1,0
F,2,0
F,3,1
F,4,0
F,5,0
F,6,0
F,7,1
F,8,0
F,9,0
G,1,0
G,2,0
G,3,0
G,4,1
G,5,0
G,6,0
G,7,1
G,8,1
G,9,0
H,1,1
H,2,0
H,3,0
H,4,0
H,5,0
H,6,0
H,7,0
H,8,0
H,9,0
I,1,0
I,2,0
I,3,0
I,4,0
I,5,0
I,6,0
I,7,1
I,8,0
I,9,0
